Key-letter,Key-number,Track Name,Artist,URL,Note,Explict,Loaded,meta,,
A,0,Pursuit of Happiness,Project X,http://10.10.10.100/media/Pursuit_of_Happiness.mp3,,Yes,yes,
B,0,B#$%H Betta Have My Money,Project X,http://10.10.10.100/media/BitchBettaHaveMoney.mp3,,Yes,yes,
C,0,Turn Down For What,Lil’ John,http://10.10.10.100/media/TurnDownForWhat.m4a,,,yes,
D,0,,,,,,,
E,0,Be Like Kanye,Chainsmokers,http://10.10.10.100/media/chainsmokers_kanye.mp3,,,yes,
F,0,#Selfie,Chainsmokers,http://10.10.10.100/media/chainsmokers_selfie.mp3,,,yes,
H,0,Party Rock,Web Stream,x-rincon-mp3radio://199.195.194.94:8061/,WebAdd,no,yes,
J,0,Ride,Twenty One Pilots,x-file-cifs://Chriss-iMac/Music/iTunes%20Media/Music/Twenty%20One%20Pilots/Blurryface/1-03%20Ride.m4a,WebAdd,no,yes,
K,0,,,,,,,
L,0,,,,,,,
M,0,Movie Night - Fire,Media Setup,,,,,
N,0,Acer Setup,Media Setup,,,,,
P,0,Playstation 4,Media Setup,,,,,
Q,0,Wii U,Media Setup,,,,,
R,0,Xbox,Media Setup,,,,,
S,0,Stop,Stop all music,http://10.10.10.100/media/,,,,
T,0,Terminate,Stop All Music,,,,,
U,0,,,,,,,
V,0,,,,,,,
A,1,ADVANCED MODE,Command,,,,,
B,1,,,,,,,
C,1,ABC Jazz,Jazz Stream,aac://shoutmedia.abc.net.au:10330/,,,,
D,1,Sonos BlueNote,Jazz Stream,x-rincon-mp3radio://rfcmedia.streamguys1.com/BlueNote101.mp3,,,,"<DIDL-Lite xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:upnp=""urn:schemas-upnp-org:metadata-1-0/upnp/"" xmlns:r=""urn:schemas-rinconnetworks-com:metadata-1-0/"" xmlns=""urn:schemas-upnp-org:metadata-1-0/DIDL-Lite/""><item id=""-1"" parentID=""-1"" restricted=""true""><res protocolInfo=""x-rincon-mp3radio:*:*:*"">x-rincon-mp3radio://rfcmedia.streamguys1.com/BlueNote101.mp3</res><r:streamContent>Kenny Dorham - Monaco (Live-Set #3)</r:streamContent><dc:title>BlueNote101.mp3</dc:title><upnp:class>object.item</upnp:class></item></DIDL-Lite>'"
E,1,BBC Radio 4 Extra,Spoken Word,hls-radio://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/uk/sbr_high/ak/bbc_radio_four_extra.m3u8,,,,
F,1,BBC Radio 3,Classical,hls-radio://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/uk/sbr_high/ak/bbc_radio_three.m3u8,,,,
G,1,,,,,,,
H,1,,,,,,,
J,1,,,,,,,
K,1,,,,,,,
L,1,,,,,,,
M,1,,,,,,,
N,1,,,,,,,
P,1,,,,,,,
Q,1,,,,,,,
R,1,,,,,,,
S,1,,,,,,,
T,1,,,,,,,
U,1,,,,,,,
V,1,,,,,,,
A,2,Cherry Pink & Apple Blossom White,Perez Prado,http://10.10.10.100/media/,,,,
B,2,,,,,,,
C,2,Hound Dog,Elvis Presley,http://10.10.10.100/media/,,,,
D,2,Jailhouse Rock,Elvis Presley,http://10.10.10.100/media/,,,,
E,2,Peggy Sue,Buddy Holly,http://10.10.10.100/media/,,,,
F,2,Every Day,Buddy Holly,http://10.10.10.100/media/,,,,
G,2,Back to the Shack,Weezer,http://10.10.10.100/media/,,,yes,
H,2,Buddy Holly,Weezer,http://10.10.10.100/media/,,,,
J,2,,,,,,,
K,2,,,,,,,
L,2,,,,,,,
M,2,,,,,,,
N,2,,,,,,,
P,2,,,,,,,
Q,2,,,,,,,
R,2,,,,,,,
S,2,,,,,,,
T,2,,,,,,,
U,2,,,,,,,
V,2,,,,,,,
A,3,96X - Tidewater,Alternative Stream,aac://stream.us.gslb.liquidcompass.net/WROXFMAAC?dma=0&ats=1&zipcode=900-0003&lat=26.212219238281&lon=127.67916870117,,,,
B,3,DC 101 - DC,Alternative Stream,aac://wwdc-fm.akacast.akamaistream.net/7/634/20131/v1/auth.akacast.akamaistream.net/wwdc-fm,,,,
C,3,1.FM Alt Rock,Alternative Stream,aac://sc-xrock.1.fm:7024,,,,
D,3,98 Rock,Rock Stream,x-rincon-mp3radio://3143.live.streamtheworld.com:80/WIYYFM1_SC?TGT=TuneIn&DIST=TuneIn,,,,
E,3,104.5 Alt Rock,Rock Stream,aac://wrff-fm.akacast.akamaistream.net/7/321/20058/v1/auth.akacast.akamaistream.net/wrff-fm,,,,
F,3,Alt rock,Web Stream,aac://sc-xrock.1.fm:7024,WebAdd,no,yes,
G,3,103.5 KTU,Top 40,aac://wktu-fm.akacast.akamaistream.net/7/110/19973/v1/auth.akacast.akamaistream.net/wktu-fm,,,,
H,3,KDWB FM,Top 40,aac://kdwb-fm.akacast.akamaistream.net/7/731/19935/v1/auth.akacast.akamaistream.net/kdwb-fm,,,,
J,3,Hot Pop Radio,Pop,x-rincon-mp3radio://www.live365.com/play/hotpopradio?ff=30&tag=live365&device_id=B8-E9-37-5D-84-A2%3A0&app_id=Sonos&device_type=Sonos&device_model=Sonos&sessionid=member_12238176512%3AREFN31AgqNGrDQz,,,,
K,3,BBC Radio 1,Pop,hls-radio://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/uk/sbr_high/ak/bbc_radio_one.m3u8,,,,
L,3,Tiki Bar Radio,Web Stream,x-rincon-mp3radio://198.178.123.5:9120/,WebAdd,no,yes,
M,3,KAPA - Big Island,Hawaiian,x-rincon-mp3radio://2633.live.streamtheworld.com:80/KAPAFM_SC,,,,
N,3,Hawaiian Rainbow,Hawaiian,x-rincon-mp3radio://77.92.64.44:8022,,,,"DIDL-Lite xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:upnp=""urn:schemas-upnp-org:metadata-1-0/upnp/"" xmlns:r=""urn:schemas-rinconnetworks-com:metadata-1-0/"" xmlns=""urn:schemas-upnp-org:metadata-1-0/DIDL-Lite/"""
P,3,Hawaiia No Ka Oi,Hawaiian,aac://kdnn-hd2.akacast.akamaistream.net/7/475/191677/v1/auth.akacast.akamaistream.net/kdnn-hd2,,,,
Q,3,Aloha Joe,Hawaiian,aac://64.78.234.165:8000/ALOHAJOE,,,,
R,3,Hawaiian,Web Stream,aac://ice7.securenetsystems.net/AIRTIKI,WebAdd,no,yes,
S,3,Aloha Joe Steel Guitar,Hawaiian,x-rincon-mp3radio://s10.voscast.com:8324,,,,
T,3,Aloha Joe Jazz,Hawaiian Jazz,x-rincon-mp3radio://s8.voscast.com:8032,,,,
U,3,KHPR - Hawaiian Public Radio,Public Radio,x-rincon-mp3radio://hpr-ice.streamguys.org/khpr2,,,,
V,3,WHRO - Virginia Public Radio,Public Radio,x-rincon-mp3radio://whro.mediaplayer.whro.org/128,,,,
A,4,Bang!,After School,http://10.10.10.100/media/AfterSchool_Bang.mp3,,,yes,
B,4,Drum Solo - Let’s do it,After School,http://10.10.10.100/media/AfterSchool_LetsDoIt.mp3,,,yes,
C,4,Love Song,Big Bang,http://10.10.10.100/media/,,,,
D,4,Fantastic Baby,Big Bang,http://10.10.10.100/media/,,,,
E,4,Heavy Rotation,AKB 48,http://10.10.10.100/media/HeavyRotation.m4a,,,,
F,4,Sugar Rush,AKB 48,http://10.10.10.100/media/Sugar Rush.m4a,,,,
G,4,J-pop,Web Stream,x-rincon-mp3radio://40.117.236.216:8100/;mp3,WebAdd,no,yes,
H,4,KPOP ,Web Stream,x-rincon-mp3radio://rosetta.shoutca.st:8325,WebAdd,no,yes,
J,4,KpopWay,Web Stream,x-rincon-mp3radio://198.105.214.140:2684/Live,WebAdd,no,yes,
K,4,Korean Classics,Korean,mms://a1168.l15725241167.c157252.g.lm.akamaistream.net/D/1168/157252/v0001/reflector:41167,,,,
L,4,Big B KPOP,Web Stream,x-rincon-mp3radio://50.7.173.162:8076/,WebAdd,no,yes,
M,4,BBC Asia,Asia,http://a.files.bbci.co.uk/media/live/manifesto/audio/simulcast/hls/uk/sbr_high/ak/bbc_asian_network.m3u8,,,,
N,4,,,,,,,
P,4,,,,,,,
Q,4,,,,,,,
R,4,,,,,,,
S,4,,,,,,,
T,4,,,,,,,
U,4,,,,,,,
V,4,,,,,,,
A,5,500 Miles,Proclaimers,http://10.10.10.100/media/proclaimers_5000Miles.mp3,,,,
B,5,,,,,,,
C,5,Love Will Keep Us Together,Cap’t & Tennille,http://10.10.10.100/media/LoveWillKeepUs.mp3,,,,
D,5,Do That To Me One More time,Cap’t & Tennille,http://10.10.10.100/media/DoThatOneMore.mp3,,,,
E,5,,,,,,,
F,5,,,,,,,
G,5,,,,,,,
H,5,,,,,,,
J,5,,,,,,,
K,5,,,,,,,
L,5,,,,,,,
M,5,,,,,,,
N,5,,,,,,,
P,5,,,,,,,
Q,5,,,,,,,
R,5,,,,,,,
S,5,,,,,,,
T,5,,,,,,,
U,5,,,,,,,
V,5,,,,,,,
A,6,Chinese Music,Chinese,mms://219.142.120.27/chn,,,,
B,6,Chinese Music,Chinese,http://radio.chinesemusicworld.com:8202/,,,,
C,6,Bollywood HSL,India,x-rincon-mp3radio://50.7.70.66:8485,,,,
D,6,Indian Classics,Inida,x-rincon-mp3radio://radio.bollywoodradio.de/128,,,,
E,6,Indian Classics,Inida,x-rincon-mp3radio://listen.radionomy.com/bollywoodhindihits,,,,
F,6,Indian Bollywood,India,x-rincon-mp3radio://streamplus11.leonex.de:17222/,,,,
G,6,Viva El Mariachi,Mariachi,aac://streaming64.radionomy.com/viva-el-mariachi,,,,
H,6,Radio Mariachi,Mariachi,aac://138.128.186.90:8010,,,,
J,6,Greek Music,Greek,x-rincon-mp3radio://14.201.39.229:8000/,,,,
K,6,Greek Times Radio,Greek,aac://206.217.201.136:8049/stream,,,,
L,6,Chinese Classical,Chinese,x-rincon-mp3radio://radio.chinesemusicworld.com:8202,,,,
M,6,Indian Classical,Indian,x-rincon-mp3radio://www.shadjamadhyam.com:8000/in,,,,
N,6,,,,,,,
P,6,,,,,,,
Q,6,,,,,,,
R,6,,,,,,,
S,6,,,,,,,
T,6,,,,,,,
U,6,,,,,,,
V,6,,,,,,,
